iter	Passed	Remaining
0	39	21079
1	92	24331
2	152	26804
3	211	27866
4	282	29613
5	340	29729
6	391	29270
7	447	29171
8	510	29544
9	568	29546
10	626	29539
11	685	29583
12	742	29540
13	793	29245
14	848	29140
15	900	28943
16	954	28798
17	1005	28604
18	1057	28444
19	1115	28446
20	1169	28335
21	1216	28082
22	1267	27939
23	1320	27842
24	1365	27588
25	1412	27384
26	1457	27160
27	1507	27028
28	1556	26891
29	1601	26694
30	1649	26550
31	1695	26379
32	1742	26243
33	1798	26237
34	1845	26103
35	1895	26008
36	1941	25865
37	2003	25943
38	2048	25791
39	2096	25677
40	2138	25502
41	2188	25426
42	2232	25285
43	2294	25346
44	2339	25211
45	2387	25115
46	2432	25002
47	2477	24879
48	2522	24766
49	2567	24647
50	2618	24591
51	2635	24223
52	2685	24173
53	2712	23906
54	2760	23840
55	2807	23761
56	2853	23681
57	2912	23704
58	2972	23728
59	3022	23677
60	3075	23645
61	3122	23566
62	3181	23586
63	3245	23632
64	3311	23690
65	3361	23633
66	3461	23923
67	3544	24082
68	3593	24006
69	3641	23930
70	3686	23831
71	3731	23733
72	3776	23639
73	3821	23551
74	3869	23473
75	3921	23428
76	3969	23353
77	4022	23307
78	4068	23226
79	4114	23144
80	4159	23055
81	4203	22966
82	4246	22868
83	4292	22789
84	4341	22729
85	4382	22625
86	4428	22547
87	4473	22469
88	4516	22379
89	4561	22302
90	4603	22209
91	4649	22133
92	4698	22076
93	4751	22040
94	4795	21958
95	4841	21887
96	4907	21908
97	4973	21924
98	5034	21918
99	5094	21904
100	5150	21875
101	5207	21851
102	5276	21873
103	5344	21890
104	5413	21913
105	5477	21908
106	5545	21922
107	5605	21904
108	5668	21892
109	5724	21858
110	5778	21812
111	5837	21785
112	5898	21767
113	5964	21765
114	6021	21728
115	6076	21686
116	6125	21622
117	6175	21562
118	6224	21497
119	6267	21414
120	6311	21332
121	6361	21273
122	6409	21209
123	6462	21159
124	6508	21087
125	6555	21018
126	6600	20945
127	6641	20858
128	6697	20819
129	6748	20764
130	6799	20710
131	6854	20667
132	6930	20688
133	7010	20716
134	7097	20766
135	7167	20765
136	7224	20724
137	7274	20662
138	7328	20614
139	7387	20579
140	7436	20516
141	7496	20484
142	7599	20567
143	7677	20579
144	7732	20532
145	7835	20607
146	7935	20674
147	7992	20629
148	8053	20593
149	8118	20566
150	8187	20551
151	8267	20558
152	8322	20506
153	8373	20443
154	8429	20392
155	8487	20348
156	8554	20324
157	8610	20272
158	8669	20228
159	8724	20174
160	8784	20133
161	8904	20228
162	8974	20206
163	9078	20260
164	9134	20206
165	9212	20201
166	9265	20139
167	9345	20136
168	9408	20098
169	9474	20063
170	9557	20065
171	9611	20004
172	9691	19999
173	9774	19997
174	9826	19932
175	9879	19871
176	9928	19801
177	9979	19734
178	10025	19659
179	10073	19588
180	10120	19513
181	10167	19441
182	10218	19375
183	10265	19303
184	10316	19239
185	10363	19167
186	10416	19107
187	10464	19036
188	10519	18980
189	10566	18907
190	10664	18928
191	10719	18870
192	10801	18861
193	10856	18802
194	10936	18788
195	10992	18732
196	11047	18674
197	11093	18601
198	11140	18530
199	11186	18457
200	11240	18398
201	11284	18322
202	11332	18254
203	11382	18189
204	11433	18126
205	11489	18071
206	11542	18011
207	11590	17942
208	11636	17873
209	11690	17813
210	11739	17748
211	11799	17698
212	11847	17631
213	11899	17570
214	11945	17501
215	11993	17434
216	12043	17371
217	12099	17316
218	12149	17252
219	12196	17185
220	12241	17115
221	12288	17049
222	12334	16980
223	12383	16917
224	12428	16847
225	12476	16782
226	12526	16720
227	12574	16656
228	12627	16598
229	12675	16532
230	12727	16473
231	12771	16405
232	12819	16341
233	12868	16277
234	12917	16215
235	12965	16151
236	13015	16090
237	13062	16026
238	13110	15963
239	13162	15904
240	13210	15841
241	13263	15784
242	13310	15720
243	13356	15656
244	13402	15590
245	13450	15528
246	13500	15468
247	13552	15410
248	13598	15346
249	13652	15290
250	13706	15234
251	13755	15174
252	13804	15114
253	13853	15053
254	13899	14990
255	13949	14930
256	13996	14867
257	14043	14806
258	14091	14744
259	14139	14683
260	14186	14621
261	14235	14561
262	14281	14499
263	14327	14435
264	14376	14376
265	14423	14314
266	14472	14255
267	14519	14194
268	14570	14137
269	14620	14079
270	14682	14031
271	14731	13972
272	14778	13912
273	14825	13851
274	14878	13796
275	14932	13742
276	14985	13687
